# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.646043532362e-10       7.653263647946e-15       2.380572450757e-13       6.776159291897e-17       9.046338868685e-11       9.751315792597e-12      -8.351244164300e-15 
   41       1.670017822174e-10       8.304886767626e-15       2.284586227172e-13       7.119228972842e-17       8.598777925055e-11       9.311592849063e-12      -6.389559684126e-15 
   42       1.694089273306e-10       8.995242773022e-15       2.178260425108e-13       7.471055018712e-17       8.180192043503e-11       8.896431676116e-12      -5.644107547141e-15 
   43       1.718349340226e-10       9.723866982368e-15       2.060482315605e-13       7.831659283569e-17       7.789473295881e-11       8.506510737598e-12      -5.882708570658e-15 
   44       1.742868947843e-10       1.048997092643e-14       1.929917359871e-13       8.201063390244e-17       7.423783277356e-11       8.141179944757e-12      -6.802861950273e-15 
   45       1.767695086427e-10       1.129272580025e-14       1.785110574636e-13       8.579285016315e-17       7.079567611399e-11       7.798904355915e-12      -8.072937162720e-15 
   46       1.792845495163e-10       1.213225974627e-14       1.624863234014e-13       8.966325530883e-17       6.756285811924e-11       7.479022565661e-12      -9.481086368613e-15 
   47       1.818307976760e-10       1.300892560423e-14       1.447942461976e-13       9.362178587381e-17       6.453562140250e-11       7.180319749087e-12      -1.082316215038e-14 
   48       1.844038498443e-10       1.392302190603e-14       1.252965648810e-13       9.766833224592e-17       6.170060569051e-11       6.900435463759e-12      -1.185903202369e-14 
   49       1.869958551276e-10       1.487479085339e-14       1.038391704476e-13       1.018027361159e-16       5.903413367261e-11       6.635781581433e-12      -1.231069097718e-14 
   50       1.895987293266e-10       1.586442717798e-14       8.029466238098e-14       1.060247844588e-16       5.650934388550e-11       6.382582569453e-12      -1.195046307676e-14 
   51       1.922154390821e-10       1.689211224836e-14       5.470566552236e-14       1.103341954685e-16       5.412152872155e-11       6.140519623430e-12      -1.089820970000e-14 
   52       1.948513242261e-10       1.795798572539e-14       2.717890303292e-14       1.147306243964e-16       5.186843968257e-11       5.909933833116e-12      -9.401532526446e-15 
   53       1.975107891117e-10       1.906213401479e-14      -2.153693332458e-15       1.192136640368e-16       4.974270476439e-11       5.690761728032e-12      -7.755031649026e-15 
   54       2.001972022337e-10       2.020458875699e-14      -3.313381406966e-14       1.237828420123e-16       4.773148357809e-11       5.482506025637e-12      -6.302657599106e-15 
