# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.645046237194e-10       7.586006461559e-15       2.382561875249e-13       0.000000000000e+00       9.046338868685e-11       9.751315792597e-12      -8.351244164300e-15 
   41       1.668978696064e-10       8.234293961937e-15       2.286722632433e-13       0.000000000000e+00       8.598777925055e-11       9.311592849063e-12      -6.389559684126e-15 
   42       1.693007832656e-10       8.921239577700e-15       2.180548501089e-13       0.000000000000e+00       8.180192043503e-11       8.896431676116e-12      -5.644107547141e-15 
   43       1.717225129474e-10       9.646379548310e-15       2.062926219825e-13       0.000000000000e+00       7.789473295881e-11       8.506510737598e-12      -5.882708570658e-15 
   44       1.741701540485e-10       1.040892638794e-14       1.932520634826e-13       0.000000000000e+00       7.423783277356e-11       8.141179944757e-12      -6.802861950273e-15 
   45       1.766484084491e-10       1.120805238776e-14       1.787876062092e-13       0.000000000000e+00       7.079567611399e-11       7.798904355915e-12      -8.072937162720e-15 
   46       1.791590523256e-10       1.204388706442e-14       1.627792987773e-13       0.000000000000e+00       6.756285811924e-11       7.479022565661e-12      -9.481086368613e-15 
   47       1.817008680049e-10       1.291678479715e-14       1.451037655249e-13       0.000000000000e+00       6.453562140250e-11       7.180319749087e-12      -1.082316215038e-14 
   48       1.842694542113e-10       1.382704578262e-14       1.256226477219e-13       0.000000000000e+00       6.170060569051e-11       6.900435463759e-12      -1.185903202369e-14 
   49       1.868569619974e-10       1.477491401731e-14       1.041817285294e-13       0.000000000000e+00       5.903413367261e-11       6.635781581433e-12      -1.231069097718e-14 
   50       1.894553089892e-10       1.576058617825e-14       8.065349215192e-14       0.000000000000e+00       5.650934388550e-11       6.382582569453e-12      -1.195046307676e-14 
   51       1.920674633199e-10       1.678424578779e-14       5.508045031642e-14       0.000000000000e+00       5.412152872155e-11       6.140519623430e-12      -1.089820970000e-14 
   52       1.946987661333e-10       1.784603483491e-14       2.756920758416e-14       0.000000000000e+00       5.186843968257e-11       5.909933833116e-12      -9.401532526446e-15 
   53       1.973536229659e-10       1.894604221835e-14      -1.748431383629e-15       0.000000000000e+00       4.974270476439e-11       5.690761728032e-12      -7.755031649026e-15 
   54       2.000354033642e-10       2.008430224179e-14      -3.271429290455e-14       0.000000000000e+00       4.773148357809e-11       5.482506025637e-12      -6.302657599106e-15 
   55       2.027464829896e-10       2.126081020770e-14      -6.518232760971e-14       0.000000000000e+00       4.582038616865e-11       5.284465638951e-12      -5.357167494370e-15 
   56       2.054886121541e-10       2.247557718214e-14      -9.914796640120e-14       0.000000000000e+00       4.400715957677e-11       5.096559624054e-12      -4.929674267943e-15 
   57       2.082624630068e-10       2.372858619900e-14      -1.346488518341e-13       0.000000000000e+00       4.229079723056e-11       4.918656681951e-12      -4.937031418391e-15 
   58       2.110674022983e-10       2.501977553312e-14      -1.717283594857e-13       0.000000000000e+00       4.066739826866e-11       4.750315098477e-12      -5.277983896945e-15 
   59       2.139013965482e-10       2.634903786167e-14      -2.104359743169e-13       0.000000000000e+00       3.912998877949e-11       4.590763593481e-12      -5.832290423090e-15 
   60       2.167609172132e-10       2.771621942564e-14      -2.508276670336e-13       0.000000000000e+00       3.766834304062e-11       4.438882170012e-12      -6.459845800160e-15 
   61       2.196424299280e-10       2.912106328147e-14      -2.929544269554e-13       0.000000000000e+00       3.627182359229e-11       4.293505519474e-12      -7.029627721930e-15 
   62       2.225474673893e-10       3.056302606838e-14      -3.368240014070e-13       0.000000000000e+00       3.493905080489e-11       4.154456143576e-12      -7.516115378555e-15 
   63       2.254785320356e-10       3.204141843729e-14      -3.824311970986e-13       0.000000000000e+00       3.367009641332e-11       4.021710199584e-12      -7.923054068273e-15 
   64       2.284375687641e-10       3.355545477046e-14      -4.297689663623e-13       0.000000000000e+00       3.246357487445e-11       3.895086667474e-12      -8.255607719437e-15 
   65       2.314259203597e-10       3.510425056893e-14      -4.788284077285e-13       0.000000000000e+00       3.131656039172e-11       3.774238433576e-12      -8.520427514648e-15 
   66       2.344442829246e-10       3.668681983998e-14      -5.295987665023e-13       0.000000000000e+00       3.022450393983e-11       3.658643374215e-12      -8.725720514897e-15 
   67       2.374926613076e-10       3.830207248457e-14      -5.820674353396e-13       0.000000000000e+00       2.918115028936e-11       3.547595439352e-12      -8.881318283696e-15 
   68       2.405708361241e-10       3.994893231533e-14      -6.362199022445e-13       0.000000000000e+00       2.818020881831e-11       3.440402731440e-12      -8.997655341993e-15 
   69       2.436799743344e-10       4.162672471920e-14      -6.920395810345e-13       0.000000000000e+00       2.722094455332e-11       3.337048279460e-12      -9.082310774230e-15 
   70       2.468212664415e-10       4.333486321307e-14      -7.495079474009e-13       0.000000000000e+00       2.630357616529e-11       3.237647752548e-12      -9.142885920239e-15 
   71       2.499954128535e-10       4.507273622748e-14      -8.086045876937e-13       0.000000000000e+00       2.542758498224e-11       3.142250753900e-12      -9.188072553510e-15 
   72       2.532025923967e-10       4.683970757929e-14      -8.693071981537e-13       0.000000000000e+00       2.459167686782e-11       3.050837198414e-12      -9.227693623766e-15 
   73       2.564424308290e-10       4.863511694429e-14      -9.315915841439e-13       0.000000000000e+00       2.379374409986e-11       2.963313690324e-12      -9.272743999530e-15 
   74       2.597139693539e-10       5.045828032979e-14      -9.954316593811e-13       0.000000000000e+00       2.303082724886e-11       2.879509900840e-12      -9.335431210698e-15 
   75       2.630156331334e-10       5.230849054731e-14      -1.060799445168e-12       0.000000000000e+00       2.229907705655e-11       2.799174945779e-12      -9.429216191110e-15 
   76       2.663458743693e-10       5.418485798767e-14      -1.127662176361e-12       0.000000000000e+00       2.159471003388e-11       2.722043942340e-12      -9.564914326083e-15 
   77       2.697053065330e-10       5.608579838072e-14      -1.195973011704e-12       0.000000000000e+00       2.091716070221e-11       2.648059698699e-12      -9.738087700395e-15 
   78       2.730949039263e-10       5.800945205081e-14      -1.265678620217e-12       0.000000000000e+00       2.026643759013e-11       2.577185057294e-12      -9.939417105386e-15 
   79       2.765153442721e-10       5.995383257080e-14      -1.336721865043e-12       0.000000000000e+00       1.964216305169e-11       2.509334154101e-12      -1.015839837688e-14 
   80       2.799669910600e-10       6.191682395995e-14      -1.409041743360e-12       0.000000000000e+00       1.904355552195e-11       2.444370235339e-12      -1.038330235114e-14 
   81       2.834498758926e-10       6.389617788180e-14      -1.482573326276e-12       0.000000000000e+00       1.846941177254e-11       2.382103474196e-12      -1.060113482076e-14 
   82       2.869636808314e-10       6.588951084209e-14      -1.557247698740e-12       0.000000000000e+00       1.791808916718e-11       2.322288787543e-12      -1.079759649063e-14 
   83       2.905077207432e-10       6.789430138666e-14      -1.632991899437e-12       0.000000000000e+00       1.738748791724e-11       2.264623652648e-12      -1.095704293388e-14 
   84       2.940813109337e-10       6.990813930015e-14      -1.709737258591e-12       0.000000000000e+00       1.687556144731e-11       2.208819423730e-12      -1.106573114627e-14 
   85       2.976849787452e-10       7.192952680655e-14      -1.787446131149e-12       0.000000000000e+00       1.638198357320e-11       2.154833648152e-12      -1.112226531641e-14 
   86       3.013194213827e-10       7.395720567075e-14      -1.866089505811e-12       0.000000000000e+00       1.590672645818e-11       2.102672439458e-12      -1.112881737565e-14 
   87       3.049851274706e-10       7.598991841925e-14      -1.945639081024e-12       0.000000000000e+00       1.544954833866e-11       2.052319467768e-12      -1.108800933529e-14 
   88       3.086823658739e-10       7.802640977334e-14      -2.026067346024e-12       0.000000000000e+00       1.500998465548e-11       2.003735011791e-12      -1.100292847950e-14 
   89       3.124111745198e-10       8.006542808231e-14      -2.107347661883e-12       0.000000000000e+00       1.458733918532e-11       1.956855010832e-12      -1.087714255818e-14 
   90       3.161713492194e-10       8.210572675665e-14      -2.189454342547e-12       0.000000000000e+00       1.418067517198e-11       1.911590116798e-12      -1.071471497983e-14 
   91       3.199624324889e-10       8.414606570130e-14      -2.272362735888e-12       0.000000000000e+00       1.378880645779e-11       1.867824746208e-12      -1.052022000446e-14 
   92       3.237837023711e-10       8.618521274879e-14      -2.356049304742e-12       0.000000000000e+00       1.341028861491e-11       1.825416132200e-12      -1.029875793646e-14 
   93       3.276344303162e-10       8.822183478226e-14      -2.440483619663e-12       0.000000000000e+00       1.304376167714e-11       1.784230169647e-12      -1.005548225296e-14 
   94       3.315147234693e-10       9.025414925976e-14      -2.525602783555e-12       0.000000000000e+00       1.268905656307e-11       1.744257176486e-12      -9.794066635137e-15 
   95       3.354247889849e-10       9.228022268516e-14      -2.611333292445e-12       0.000000000000e+00       1.234623943609e-11       1.705511871172e-12      -9.518034395644e-15 
   96       3.393646688694e-10       9.429807616856e-14      -2.697598751464e-12       0.000000000000e+00       1.201527094295e-11       1.667997693875e-12      -9.231234379360e-15 
   97       3.433342324965e-10       9.630568534530e-14      -2.784319844860e-12       0.000000000000e+00       1.169600217141e-11       1.631706363543e-12      -8.937849456701e-15 
   98       3.473331691220e-10       9.830098029494e-14      -2.871414306021e-12       0.000000000000e+00       1.138817060803e-11       1.596617434962e-12      -8.642405016920e-15 
   99       3.513609803983e-10       1.002818454603e-13      -2.958796887488e-12       0.000000000000e+00       1.109139609582e-11       1.562697855819e-12      -8.349777461408e-15 
  100       3.554169728893e-10       1.022461195663e-13      -3.046379330972e-12       0.000000000000e+00       1.080517679195e-11       1.529901523758e-12      -8.065202696994e-15 
  101       3.595002505853e-10       1.041915955392e-13      -3.134070337376e-12       0.000000000000e+00       1.052888512549e-11       1.498168843448e-12      -7.794284629245e-15 
  102       3.636097074178e-10       1.061160204255e-13      -3.221775536807e-12       0.000000000000e+00       1.026176375510e-11       1.467426283637e-12      -7.543003655773e-15 
  103       3.677440197742e-10       1.080170953108e-13      -3.309397458597e-12       0.000000000000e+00       1.000292152673e-11       1.437585934217e-12      -7.317725159526e-15 
